"","X","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox.Office","WorldwideBox.Office","Trailer","MPAA_Rating_NC.17","MPAA_Rating_Not.Rated","MPAA_Rating_PG","MPAA_Rating_PG.13","MPAA_Rating_PG.13.fight..Rating.bulletin.2329..7.2.2014.","MPAA_Rating_R","Production_Method_Digital.Animation","Production_Method_Hand.Animation","Production_Method_Live.Action","Production_Method_Multiple.Production.Methods","Production_Method_Stop.Motion.Animation","Genre_Adventure","Genre_Black.Comedy","Genre_Comedy","Genre_Concert.Performance","Genre_Documentary","Genre_Drama","Genre_Horror","Genre_Multiple.Genres","Genre_Musical","Genre_Reality","Genre_Romantic.Comedy","Genre_Thriller.Suspense","Genre_Western","Running_Time","Keywords","Franchise","Production_Companies","Production_Countries","Source_Based.on.Comic.Graphic.Novel","Source_Based.on.Factual.Book.Article","Source_Based.on.Fiction.Book.Short.Story","Source_Based.on.Folk.Tale.Legend.Fairytale","Source_Based.on.Game","Source_Based.on.Movie","Source_Based.on.Musical.Group","Source_Based.on.Musical.or.Opera","Source_Based.on.Play","Source_Based.on.Real.Life.Events","Source_Based.on.Religious.Text","Source_Based.on.Short.Film","Source_Based.on.Song","Source_Based.on.Theme.Park.Ride","Source_Based.on.Toy","Source_Based.on.TV","Source_Based.on.Web.Series","Source_Compilation","Source_Original.Screenplay","Source_Remake","Source_Spin.Off","Creative_Type_Dramatization","Creative_Type_Factual","Creative_Type_Fantasy","Creative_Type_Historical.Fiction","Creative_Type_Kids.Fiction","Creative_Type_Multiple.Creative.Types","Creative_Type_Production.Countries.","Creative_Type_Science.Fiction","Creative_Type_Super.Hero","warner","Columbia","Universal_Pictures","Walt_Disney_Pictures","Marvel_Studios","Paramount_Pictures","Century_Fox","Relativity_Media","DreamWorks_Pictures","New_Line_Cinema","Dune_Entertainment","Canal_Plus","Regency_Enterprises","Lionsgate","BBC_Films","StudioCanal","Working_Title_Films","Blumhouse","BFI","France","Cine_Plus","Participant_Media","Village_Roadshow_Productions","Metro_Goldwyn_Mayer_Pictures","Year","month_Aug","month_Dec","month_Feb","month_Jan","month_Jul","month_Jun","month_Mar","month_May","month_Nov","month_Oct","month_Sep","month_Spr","Production_Countries.US","Production_Countries.NonUS"
"11",11,"Nov 21, 2018","Creed II",5e+07,35574710,99484146,122684146,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,128,"Boxing, Screenplay Written By the Star, Father's Footsteps",1,"Metro-Goldwyn-Mayer Pictures, Warner Bros., New Line Cinema, Chartoff Winkler Productions","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"12",12,"Nov 16, 2018","Fantastic Beasts: The Crime…",2e+08,62163104,148003410,572085313,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134,"New York City, London, Ensemble, 1920s, Secret Magic, Good vs. Evil, Romance, Faulty Memory, Forbidden Romance, Prequel",1,"Heyday Films, Warner Bros.","United Kingdom,United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"13",13,"Oct 5, 2018","A Star is Born",3.6e+07,42908051,198138074,371598814,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,140,"Remake, Singers, Film Actor, Addiction, Big Break, Movie Business, Music Industry, Musicians, Actors Making Their Directorial Debut, Directing Yourself, Screenplay Written By the Star",0,"Bill Gerber, Jon Peters, Joint Effort, Warner Bros., Live Nation Productions, Metro-Goldwyn-Mayer Pictures","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"14",14,"Sep 28, 2018","Smallfoot",8e+07,23045635,82460754,213142005,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,"Bigfoot, Mountain Climbing, Humans as Monsters, Falsely Accused",0,"Zaftig Films, RatPac Entertainment, Warner Bros., Warner Animation Group","United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"15",15,"Aug 15, 2018","Crazy Rich Asians",3e+07,26510140,173994561,238494561,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120,"Singapore, Asian-Americans, Romance, You Can't Go Home Again, Dysfunctional Family, Cross-Class Romance, Culture Clash",0,"Color Force, Ivanhoe Pictures, Warner Bros., SK Global, Beijing Universe Starlight Culture Media Company, Electric Somewhere","United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"16",16,"Aug 10, 2018","The Meg",1.5e+08,45402195,143005856,527170888,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,"Animals Gone Bad, Underwater, Exes in Love, Rescue, Dishonorable Discharge, Redemption",0,"Warner Bros., Gravity Pictures, Flagship Entertainment, Apelles Entertainment, di Bonaventura Pictures, Maeday Productions, On a Roll Productions","United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"17",17,"Spring, 2018","Justice League vs. The Fata…",NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Direct-to-Video",1,"Warner Bros.","United States",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"18",18,"Jun 8, 2018","Ocean’s 8",7e+07,41607378,139377762,296277762,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,"Heist, Life on the Outside, Fashion, Delayed Sequel, Genderbending Casting, New York City, Confidence Men",1,"Warner Bros., Village Roadshow Productions, Rahway Road ","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"19",19,"Mar 29, 2018","Ready Player One",1.5e+08,41769050,137018455,578621729,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140,"Near Future, Virtual Reality, Video Game, Environment, Government Corruption, Poverty, Treasure Hunters",0,"Warner Bros., Village Roadshow Productions, Amblin Entertainment, Dune Entertainment, De Line Pictures, Access Entertainment","United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"20",20,"Mar 16, 2018","Tomb Raider",9e+07,23633317,57421715,272648985,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,"Non-Chronological, Archaeology, Marooned, Genocide, Secret Societies, 3-D, Missing Person, Presumed Dead, Inheritance",0,"Metro-Goldwyn-Mayer Pictures, Warner Bros., GK Films, Square Enix Business","United States",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,0,0,0,0,0,0,1,0,0,0,0,0,1,0
