"","X","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox.Office","WorldwideBox.Office","Trailer","MPAA_Rating_NC.17","MPAA_Rating_Not.Rated","MPAA_Rating_PG","MPAA_Rating_PG.13","MPAA_Rating_PG.13.fight..Rating.bulletin.2329..7.2.2014.","MPAA_Rating_R","Production_Method_Digital.Animation","Production_Method_Hand.Animation","Production_Method_Live.Action","Production_Method_Multiple.Production.Methods","Production_Method_Stop.Motion.Animation","Genre_Adventure","Genre_Black.Comedy","Genre_Comedy","Genre_Concert.Performance","Genre_Documentary","Genre_Drama","Genre_Horror","Genre_Multiple.Genres","Genre_Musical","Genre_Reality","Genre_Romantic.Comedy","Genre_Thriller.Suspense","Genre_Western","Running_Time","Keywords","Franchise","Production_Companies","Production_Countries","Source_Based.on.Comic.Graphic.Novel","Source_Based.on.Factual.Book.Article","Source_Based.on.Fiction.Book.Short.Story","Source_Based.on.Folk.Tale.Legend.Fairytale","Source_Based.on.Game","Source_Based.on.Movie","Source_Based.on.Musical.Group","Source_Based.on.Musical.or.Opera","Source_Based.on.Play","Source_Based.on.Real.Life.Events","Source_Based.on.Religious.Text","Source_Based.on.Short.Film","Source_Based.on.Song","Source_Based.on.Theme.Park.Ride","Source_Based.on.Toy","Source_Based.on.TV","Source_Based.on.Web.Series","Source_Compilation","Source_Original.Screenplay","Source_Remake","Source_Spin.Off","Creative_Type_Dramatization","Creative_Type_Factual","Creative_Type_Fantasy","Creative_Type_Historical.Fiction","Creative_Type_Kids.Fiction","Creative_Type_Multiple.Creative.Types","Creative_Type_Production.Countries.","Creative_Type_Science.Fiction","Creative_Type_Super.Hero","warner","Columbia","Universal_Pictures","Walt_Disney_Pictures","Marvel_Studios","Paramount_Pictures","Century_Fox","Relativity_Media","DreamWorks_Pictures","New_Line_Cinema","Dune_Entertainment","Canal_Plus","Regency_Enterprises","Lionsgate","BBC_Films","StudioCanal","Working_Title_Films","Blumhouse","BFI","France","Cine_Plus","Participant_Media","Village_Roadshow_Productions","Metro_Goldwyn_Mayer_Pictures","Year","month_Aug","month_Dec","month_Feb","month_Jan","month_Jul","month_Jun","month_Mar","month_May","month_Nov","month_Oct","month_Sep","month_Spr","Production_Countries.US","Production_Countries.NonUS"
"198",198,"Nov 9, 2018","The Girl in the Spider’s Web",4.3e+07,7810112,14777868,33804655,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,117,"Delayed Sequel, Sequel With Lead Character Recast, Hackers, Revenge, Weapons of Mass Destruction, Internet, Cyber Warfare, Government Corruption",1,"Cantillon Company, Yellow Bird, Scott Rudin Productions, Pascal Pictures, Columbia Pictures, Metro-Goldwyn-Mayer Pictures, Regency Enterprises, Rose Line Productions Limited, Studio Babelsberg","Sweden,United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"199",199,"Nov 6, 2018","The Front Runner",NA,51543,1984292,2010275,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113,"Political Campaign, 1980s, Politicians, Scandal, Tabloid Journalism, Infidelity",0,"Right of Way Films, Bron Studios, Creative Wealth Media Finance, Columbia Pictures, Stage 6 Films","United States",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"200",200,"Oct 12, 2018","Goosebumps 2: Haunted Hallo…",3.5e+07,15802225,46682298,92443070,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,"Supernatural, Circus, Creature Features, Living Toys, Sequels Without Their Original Stars, Kids Horror",1,"Columbia Pictures, Sony Pictures Animation, Original Film, Scholastic Entertainment Inc., Silvertongue Films","Australia,United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"201",201,"Oct 5, 2018","Venom",1.16e+08,80255756,212834976,853108178,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,"Parasite, Investigative Journalist, Marvel Comics, Super Villains, Mad Scientist, Body Horror, Scene in End Credits",1,"Columbia Pictures, Tencent Pictures , Marvel Studios, Arad Productions, Matt Tolmach Productions, Pascal Pictures","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"202",202,"Sep 14, 2018","White Boy Rick",3e+07,8860431,24004833,24043194,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,111,"Hood Film, 1980s, FBI, Drug Trafficking",0,"Protozoa Pictures, Studio 8, LBI Entertainment, Columbia Pictures, Le Grisbi","United States",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"203",203,"Aug 17, 2018","Alpha",NA,10352512,35851379,99091413,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,"Cavemen, Lone Survivor, Prehistoric Times, Animal Lead",0,"Studio 8, Columbia Pictures","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"204",204,"Jul 20, 2018","The Equalizer 2",7.7e+07,36011640,102084362,190480268,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,"Death of a Best Friend, Revenge",1,"Columbia Pictures, Escape Artists, Zhiv, Mace Neufeld","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"205",205,"Jul 13, 2018","Hotel Transylvania 3: Summe…",6.5e+07,44076225,167508127,528063052,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,"Monster, Vampire, Werewolf, Frankenstien's Monster, Summer Vacation, Dysfunctional Family, Generational Conflict, Romance, On a Boat, Interspecies Romance, Faked Romance, Mummy",1,"Sony Pictures Animation, Columbia Pictures","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"206",206,"Jun 29, 2018","Sicario: Day of the Soldado",3.5e+07,19007566,50065850,75818435,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,"Mexico, Drug Cartels, Human-Trafficking, Smuggler, Terrorism, Kidnap, Government Corruption, Sequels Without Their Original Stars",1,"Columbia Pictures, Black Label Media, Thunder Road Film","Italy,United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"207",207,"Jun 13, 2018","Superfly",1.6e+07,6870740,20537137,20723581,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,"African-American, Black Urban, Blaxploitation, Crime, Crime Thriller, Remake, Hood Film",0,"Columbia Pictures, Silver Pictures","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"208",208,"Feb 9, 2018","Peter Rabbit",5e+07,25010928,115234093,347134538,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,"Animal Lead, Talking Animals, Romance, Relationships Gone Wrong, Love Triangle",0,"Columbia Pictures, Olive Bridge Entertainment, Sony Pictures Animation, Animal Logic, 2.0 Entertainment","Australia,United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"209",209,"Dec 31, 2017","Mary Magdalene",NA,NA,NA,11585369,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120,"Jewish, Christians, Religious, Development Hell, Delayed Release",0,"Film4, Perfect World Pictures, Porchlight Films, See-Saw Films, Affirm Films, Columbia Pictures","Australia,United Kingdom,United States",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"210",210,"Dec 20, 2017","Jumanji: Welcome to the Jungle",9e+07,36169328,404508916,964526673,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119,"Alternate Reality Game, False Identity, Same Role, Multiple Actors, Explorer, Academics, Delayed Sequel, 1990s, Prologue, Intertitle, Gratuitous Cameos",1,"Columbia Pictures, Matt Tolmach Productions, Seven Bucks Productions","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"211",211,"Nov 17, 2017","Roman J. Israel, Esq.",2.2e+07,61999,11962712,12967012,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129,"Lawyers, Los Angeles, Civil Rights Movement, Courtroom Drama, African-American, Death of a Partner, Hood Film",0,"Columbia Pictures, Macro Media, Topic   , Cross Creek Pictures, Bron Creative, Image Nation Abu Dhabi, Escape Artists","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"212",212,"Oct 20, 2017","Only the Brave",3.8e+07,6002665,18340051,24555240,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,134,"Disaster, Firefighter, Arizona, Death of a Colleague, 2010s",0,"Columbia Pictures, Summit Entertainment, Black Label Media, di Bonaventura Pictures, Conde Nast, Relevant Entertainment","United States",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"213",213,"Oct 6, 2017","Blade Runner 2049",1.85e+08,32753122,92054159,259344059,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,164,"Delayed Sequel, Robot, Post Apocalypse, Police Procedural, Film Noir",1,"Alcon Entertainment, Thunderbird Films, Columbia Pictures, Ridley Scott Associates, Bud Yorkin, Torridon Films, 16:14 Entertainment","United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"214",214,"Sep 29, 2017","Flatliners",2e+07,6574326,16883115,45175568,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110,"Death of Other Extended Family, Supernatural, Medical Students, Near Death Experience, Delayed Sequel, Human Experimentation",1,"Columbia Pictures, Further Films, Laurence Mark, Cross Creek Pictures, The Safran Company","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"215",215,"Jul 7, 2017","Spider-Man: Homecoming",1.75e+08,117027503,334201140,880070886,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,"Marvel Comics, Reboot, Super Villains, High School, Coming of Age, Secret Identity, Revenge",1,"Marvel Studios, Columbia Pictures, LStar Capital","United States",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"216",216,"Jun 16, 2017","Rough Night",2e+07,8004283,22105643,46844357,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101,"Strippers / Stripping, Parties Gone Wild, College, Bachelor Party, Friends Reuniting, Accidental Death, Covering Up an Accidental Death, Screenplay Written By the Star, Ensemble",0,"Columbia Pictures, Matt Tolmach Productions, Paulilu","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"217",217,"Apr 7, 2017","Smurfs: The Lost Village",6e+07,13210449,45020282,197578586,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,"Reboot, 3-D, 3-D - Shot in 3-D, Road Trip, Animal Lead, Voiceover/Narration, Prologue, Non-Chronological, Underground, Rescue, Family Movie, Directing Yourself, Scene in End Credits",1,"Kerner Entertainment Company, Columbia Pictures, LStar Capital, Wanda Media, Sony Pictures Animation","United States",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"218",218,"Mar 24, 2017","Life",5.8e+07,12501936,30234022,100929803,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103,"Outer Space, Space Station, Alien Encounters, Trapped, One Location, Isolation Horror",0,"Columbia Pictures, Skydance Productions","United Kingdom,United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"219",219,"Dec 21, 2016","Passengers",1.1e+08,14869736,100014699,302239672,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,"Space Program, Romance, Disaster",0,"Columbia Pictures, LStar Capital, Village Roadshow Productions, Wanda Media, Original Film, Company Films, Start Motion Pictures","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"220",220,"Dec 2, 2016","The Duelist",NA,NA,NA,6088454,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110,"Russia, 1800s, Royalty, Romance, Non-Chronological",0,"Columbia Pictures, Non-Stop Productions, Cinema Foundation of Russia","Russian Federation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"221",221,"Oct 28, 2016","Inferno",7.5e+07,14860425,34343574,219561188,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,121,"Delayed Sequel, Conspiracy Theory, Faulty Memory",1,"Image Entertainment, Columbia Pictures, LStar Capital, Brian Grazer Productions","United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"222",222,"Sep 23, 2016","The Magnificent Seven",9e+07,34703397,93432655,162526238,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,"Ensemble, Mercenaries, Death of a Spouse or Fiancée / Fiancé, Robber Baron, Remake, Foreign-Language Remake",0,"Metro-Goldwyn-Mayer Pictures, Columbia Pictures, LStar Capital, Village Roadshow Productions, Pin High, Escape Artists","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2016,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"223",223,"Aug 12, 2016","Sausage Party",1.9e+07,34263534,97670358,141354394,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,"Food, Animated Inanimate Objects",0,"Annapurna Pictures, Point Grey, Columbia Pictures","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"224",224,"Aug 12, 2016","My Best Friend’s Wedding",NA,39984,77043,5724682,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,"Foreign-Language Remake, Wedding Planning, Revenge, Unrequited Love",0,"Columbia Pictures, China Film Group","China,United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"225",225,"Jul 15, 2016","Ghostbusters",1.44e+08,46018755,128350574,229012195,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,117,"New York City, Reboot, Hauntings, Paranormal Investigation, Entrepreneur, Genderbending Casting, Inventor, Gratuitous Cameos, Development Hell, Supernatural, College Professor, Fired, Horror Comedy",1,"Columbia Pictures, Village Roadshow Productions, Ivan Reitman Production","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"226",226,"Jun 24, 2016","The Shallows",1.3e+07,16800868,55121623,118763442,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87,"Surfing, Trapped, Animals Gone Bad, Epilogue, Near Death Experience, Single Parent, Split Screen, Non-Chronological, Character POV shot, Isolation Horror",0,"Columbia Pictures, Weimaraner Republic Pictures, Ombra Films","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"227",227,"May 20, 2016","The Angry Birds Movie",7.3e+07,38155177,107509366,352330117,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,"Animal Lead, Talking Animals, Therapists / Therapy",0,"Columbia Pictures, Rovio Animation","Finland,United States",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"228",228,"Mar 16, 2016","Miracles from Heaven",1.3e+07,14812393,61705123,73798720,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,109,"Faith-Based, Christians, Medical and Hospitals, Near Death Experience",0,"Columbia Pictures, Affirm Films, Roth Films, T.D. Jakes, Franklin Entertainment","United States",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"229",229,"Mar 11, 2016","The Brothers Grimsby",3.5e+07,3258327,6864016,28721408,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,"Separated at Birth, Dysfunctional Family, Secret Agent, Terrorism, Conspiracy Theory, Spoof",0,"Columbia Pictures, LStar Capital, Village Roadshow Productions, Four by Two Films, Working Title Films, Big Talk Pictures","United Kingdom,United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"230",230,"Feb 19, 2016","Risen",2e+07,11801271,36880033,46255763,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,107,"Religious, Ancient Rome, Faith-Based",0,"Columbia Pictures, LD Entertainment, Affirm Films, Liddell Entertainment, Patrick Aiello","United States",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"231",231,"Jan 22, 2016","The 5th Wave",3.8e+07,10326356,34912982,111336398,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,"Alien Invasion, Young Adult Book Adaptation, Epidemic, Young Child Dealing with the Death of a Parent, Child Soldier, Bodysnatchers",0,"Columbia Pictures, LStar Capital, Material Pictures, GK Films","United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"232",232,"Dec 31, 2015","Dao shi xia shan",NA,NA,NA,65545173,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,123,NA,0,"New Classic Media, Columbia Pictures","China,United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"233",233,"Dec 25, 2015","Concussion",3.5e+07,10513749,34531832,50363790,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,"Medical and Hospitals, Football, Corporate Malfeasance, Immigration",0,"Columbia Pictures, LStar Capital, Village Roadshow Productions, Scott Free Films, Shuman Company, Cara Films, Cantillon Company","United States",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"234",234,"Nov 20, 2015","The Night Before",2.5e+07,9880536,43035725,52427346,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101,"Christians, Jewish, Christmas in November, Christmas, Orphan, Young Child Dealing with the Death of a Parent, Narcotics, Black Out Drunk, Parties Gone Wild, Gratuitous Cameos",0,"Columbia Pictures, Good Universe, LStar Capital, Point Grey","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"235",235,"Oct 30, 2015","Freaks of Nature",3.3e+07,NA,70958,70958,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92,"Zombies, Vampire, Alien Invasion, Gratuitous Cameos, Outtakes During Credits, Werewolf, Conspiracy Theory, Bullies, Voiceover/Narration, Freeze Frame, Slow Motion Scene, Horror Comedy",0,"Columbia Pictures, LStar Capital","United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"236",236,"Oct 16, 2015","Goosebumps",5.8e+07,23618556,80069458,158905324,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,103,"Writing and Writers, Young Adult Book Adaptation, Creature Features, Werewolf, Killer Inanimate Objects, Bigfoot, Fiction / Reality Crossover, Horror Comedy, Monster",1,"Columbia Pictures, Sony Pictures Animation, LStar Capital, Village Roadshow Productions, Original Film, Scholastic Entertainment Inc.","United States",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0
